N,M,h2,h2_est,h2_diff
-1,-1,0.1,0.09316190792475869,0.006838092075241317
-1,-1,0.1,0.08324898328503422,0.01675101671496579
-1,-1,0.1,0.11848297875518994,-0.018482978755189935
-1,-1,0.1,0.11589666248721084,-0.015896662487210833
-1,-1,0.1,0.0905912115309666,0.00940878846903341
-1,-1,0.1,0.1017664162168403,-0.0017664162168402886
-1,-1,0.1,0.1171965647479549,-0.01719656474795489
-1,-1,0.1,0.10458847997752282,-0.004588479977522819
-1,-1,0.1,0.08467180643681352,0.015328193563186487
-1,-1,0.1,0.10923661711427733,-0.009236617114277326
-1,-1,0.1,0.09928002705941653,0.0007199729405834715
-1,-1,0.1,0.05678618080878831,0.04321381919121169
-1,-1,0.1,0.0580273111398848,0.0419726888601152
-1,-1,0.1,0.10804431344016484,-0.008044313440164833
-1,-1,0.1,0.08803436972322332,0.01196563027677669
-1,-1,0.1,0.1339182226848513,-0.033918222684851285
-1,-1,0.1,0.08337786151103622,0.01662213848896378
-1,-1,0.1,0.09723667196160524,0.002763328038394769
